0,MXRA8
1,TXNRD1
2,CCNI
3,TIMM23B
4,TSLP
5,CH507-9B2.5
6,IFRD1
7,RASGRP1
8,LINC00649
9,MARCH2
10,C11orf74
11,RP11-746M1.1
12,RP11-72I8.1
13,KCTD2
14,KLRB1
15,FIG4
16,ZNF22
17,RFX5
18,TRIO
19,FAM13A-AS1
20,QKI
21,RP11-341G23.4
22,KANSL1
23,BPI
24,ISM1
25,ZFAND4
26,GIMAP2
27,RP11-130L8.1
28,AP001055.6
29,MYCBP2
30,MTERF1
31,BET1L
32,ACOT13
33,KCNJ2-AS1
34,RP11-295P9.12
35,SUZ12
36,LPL
37,FCHO1
38,PREX2
39,NCR3LG1
40,GMPR2
41,CTB-50L17.9
42,SPDYA
43,ATG2A
44,MAGOH
45,LINC01474
46,TTF2
47,CTD-2036P10.3
48,TIGD2
49,ZNF461
50,PFAS
51,EXOC5
52,AC010287.1
53,DCXR
54,LCA5L
55,ADAL
56,MTHFD2L
57,RPS3
58,C6orf99
59,FAM215B
60,MRPL32
61,CTD-2006K23.1
62,RP11-554E23.4
63,GPN1
64,GRK5
65,NPHP3
66,ERCC2
67,TIPIN
68,C9orf172
69,MCMBP
70,RP11-996F15.6
71,AC093382.1
72,POU6F1
73,CDK2
74,RP11-15F12.1
75,LINC01506
76,GOLGA7B
77,ARL6IP4
78,RPSA
79,CCDC51
80,RP11-87C12.5
81,CUL2
82,ATP5I
83,COPE
84,SMG5
85,TPRG1
86,MIPOL1
87,ZMYND10
88,TOR1B
89,ARL11
90,ANKRD53
91,ZNF570
92,ANAPC5
93,SCAMP4
94,CTBS
95,SUSD6
96,POLR3GL
97,CARD8
98,STAT4
99,CLCN4
100,DTNB
101,TMEM60
102,ZNF678
103,AP003068.9
104,ARHGAP24
105,MGLL
106,RP11-983P16.4
107,MX2
108,FGD3
109,ZMYND12
110,GOLGA8B
111,HLA-DQA1
112,LSR
113,SPARC
114,COIL
115,ARPIN
116,KANSL1L
117,GTF2IRD2B
118,SYNM
119,GLMP
120,RP11-247A12.2
121,RP11-820I16.4
122,NIF3L1
123,FXR2
124,MRPS6
125,C10orf10
126,CAMKK2
127,ZNF607
128,ZNF275
129,CA5A
130,CEP290
131,UQCRC2
132,PRKAG2-AS1
133,PNRC1
134,FKBP11
135,ZCRB1
136,RP11-661A12.7
137,RP4-639F20.1
138,ARHGAP27
139,ATP8A2
140,TOR1AIP2
141,RP11-626G11.5
142,TCEB3
143,CCDC53
144,ZFX
145,RPLP1
146,CHKB-AS1
147,RP11-712B9.2
148,AC002550.6
149,DCTN2
150,RBX1
151,KHSRP
152,PRKX
153,AC015849.19
154,CARD16
155,MRPL34
156,STX16-NPEPL1
157,P4HB
158,RP11-221J22.2
159,CTD-2215E18.1
160,ZNF32
161,LINC01515
162,SMIM2-AS1
163,FAM166B
164,ASRGL1
165,PNMAL2
166,SH2D3C
167,GBE1
168,MIR181A1HG
169,MAN1C1
170,RP11-79O8.1
171,LINC00211
172,RFT1
173,KIR2DL4
174,RP11-428K3.1
175,PDSS1
176,MLLT1
177,AGO1
178,RP11-178L8.3
179,PRR7-AS1
180,PLRG1
181,SLC2A13
182,CORO1B
183,STX12
184,GPR89B
185,PAIP1
186,MGAT4B
187,ZNF564
188,SYS1
189,CCDC142
190,SLC10A5
191,LINC00384
192,RRAGB
193,ZFP36
194,IDS
195,ABCB9
196,SEC22B
197,RP11-362A9.3
198,RHOXF1
199,BBS5
200,IRF2BP2
201,ABCA6
202,TMIE
203,RP11-182J1.3
204,KEL
205,SYCE2
206,ZNF281
207,RP11-467P9.1
208,CPQ
209,ORC1
210,RP11-447M12.2
211,ZGRF1
212,WDR34
213,ZNF395
214,SNF8
215,CCDC82
216,CIPC
217,ANPEP
218,PITPNA-AS1
219,ASPSCR1
220,SIDT1
221,SIK2
222,IQCH
223,CMSS1
224,PNP
225,ZDHHC1
226,PGAM1
227,ITGBL1
228,SLC9A3R2
229,TCEAL8
230,RP11-442J21.2
231,RP11-53O19.1
232,CACNA1A
233,PDCD6IP
234,ZNF674
235,PLPPR3
236,NUFIP2
237,KDF1
238,DIAPH1
239,CTC-428H11.2
240,AC087294.2
241,HRAS
242,BTBD8
243,ANKRD37
244,RAB8B
245,ZBTB37
246,SMIM5
247,SMC1B
248,MYO1C
249,DOCK4
250,DACT1
251,C18orf21
252,PFDN4
253,PTPRS
254,MYCBP2-AS1
255,LDB1
256,DRAXIN
257,ENTHD2
258,KIAA1549
259,ZNF568
260,MTFR2
261,NCOA6
262,UGGT1
263,SPTBN2
264,RP11-589M4.1
265,CACNB1
266,LCN12
267,SPRY3
268,ZBTB40
269,THAP9-AS1
270,RGS2
271,HVCN1
272,ARMC9
273,ACAP2
274,STX17
275,HPRT1
276,STYK1
277,PSIP1
278,EIF2S3L
279,MALSU1
280,PRPF4
281,TMEM167A
282,XXbac-BPG252P9.9
283,PIGB
284,UHRF1
285,CLK4
286,HAVCR2
287,KIF24
288,MTA2
289,RP11-973H7.1
290,TP53TG1
291,CNBD2
292,CREBBP
293,SH3BP5L
294,RPL36
295,PAFAH1B1
296,RP4-548D19.3
297,CLDN7
298,GLUD1
299,RP11-722E23.2
300,P2RY14
301,MIATNB
302,PDIA5
303,CENPP
304,MYCT1
305,EFEMP2
306,WDR3
307,RP11-111J6.2
308,SLC19A1
309,ANP32A
310,LINC01088
311,HGH1
312,MOB4
313,SENP7
314,TMEM245
315,NFATC2
316,RPL26
317,PSMC6
318,HEY2
319,C9orf16
320,CDC42SE2
321,STAM
322,PXDC1
323,NLRP3
324,ZNF777
325,RP11-1007O24.3
326,SIRT6
327,RNASE1
328,KLF2
329,SLC5A2
330,ACOT7
331,PKIG
332,KIAA0319L
333,ALKBH2
334,NDUFB1
335,PRR5
336,ANGPT2
337,DNAJB5
338,VPS13B
339,TFPI
340,ZNF644
341,MAFG-AS1
342,YPEL3
343,VDAC3
344,DENND1B
345,ZBTB14
346,FAM171A2
347,COX6A1
348,BTBD7
349,RP11-203M5.2
350,TAF2
351,NLK
352,ARL5B
353,MTRNR2L1
354,CABYR
355,WBP2NL
356,SS18
357,TRMT1
358,UCN
359,RP11-1072A3.4
360,TOPORS-AS1
361,EMILIN1
362,PNRC2
363,MDH1B
364,ZBTB4
365,KRT72
366,RBM25
367,FMR1
368,AC006116.17
369,STAC3
370,LCOR
371,HELZ2
372,RGS5
373,MUC20
374,LGALS3
375,LA16c-380H5.5
376,ZNF404
377,COLGALT1
378,F11R
379,ZFP41
380,THNSL2
381,PHF2
382,PELP1
383,TBCEL
384,PBK
385,CFAP53
386,GADD45B
387,AC009501.4
388,SALL2
389,CTA-293F17.1
390,KMT5A
391,ISG15
392,RP11-37C7.3
393,RP5-1024G6.7
394,PCGF3
395,ARFGAP3
396,BAIAP2-AS1
397,APOBEC3A
398,REEP6
399,AC025335.1
400,RP1-234P15.4
401,RP11-47L3.1
402,SRRM1
403,PSMB10
404,RP11-529K1.4
405,RP4-561L24.3
406,SLU7
407,NPM1
408,FEM1B
409,JRKL
410,IFT80
411,RP11-152N13.16
412,RP11-135A1.2
413,SMC5-AS1
414,MAD2L2
415,ADORA2A-AS1
416,RP11-4B16.4
417,CTD-2017D11.1
418,VAV1
419,PDZD8
420,GALM
421,MIR99AHG
422,DAXX
423,ST6GAL1
424,FAM3A
425,SLC37A2
426,ETFB
427,ZNF37A
428,TPRG1-AS1
429,RAE1
430,DIAPH3
431,ITPKB
432,RP11-706P11.2
433,CXCL2
434,BOLA1
435,VIM-AS1
436,ZNF410
437,EFCAB13
438,CBWD3
439,SEP15
440,LINC01420
441,SUPT4H1
442,TRIM9
443,SGTB
444,ARHGAP1
445,OGDH
446,LAPTM4A
447,ADTRP
448,RBBP5
449,SEC62-AS1
450,EED
451,ESRP2
452,GMDS-AS1
453,ZNF394
454,ZNF268
455,ZNF766
456,CHD1
457,AC023590.1
458,QDPR
459,PAN3
460,C19orf66
461,RP4-605O3.4
462,GTF3C2
463,GMPPB
464,STX16
465,PGM5P2
466,CHMP4A
467,METTL2B
468,RP11-862L9.3
469,ZNF136
470,OGG1
471,ADAM20P1
472,VPS26B
473,AC002116.7
474,PRRT2
475,PDCD10
476,SREBF1
477,MREG
478,MRPL22
479,GDAP2
480,RP11-297K8.2
481,SEC22A
482,WWP1
483,CCDC134
484,IPO13
485,APOBEC3B
